,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Tes,269,126,101,76,122,80,139,93
Cav2,6276,4633,3752,2005,5456,3119,4913,3273
Cav1,18589,13190,11367,7424,13744,8684,15631,8786
Met,407,261,232,100,196,129,179,147
Capza2,32915,22678,18587,9774,22191,12674,23000,16664
ST7,129,63,63,37,92,59,95,47
Asz1,31,1,0,2,0,3,1,1
LOC498971,0,0,0,0,0,0,0,0
Kcnd2,3,1,2,2,1,0,1,1
Tspan12,4578,2984,2439,1119,3284,1864,3074,1989
Ing3,758,557,368,200,444,231,472,300
Wnt16,150,133,133,69,160,90,166,75
Fam3c,350,184,156,107,197,136,171,161
Ptprz1,16,20,15,18,13,9,15,14
Aass,42,19,21,6,29,12,19,10
Fezf1,0,0,0,0,0,0,0,0
Rnf133,1,0,0,0,0,0,0,0
Rnf148,0,0,0,0,0,0,2,0
Tas2r118,0,0,0,0,0,0,0,0
Slc13a1,0,0,0,0,0,0,0,0
Iqub,668,350,354,175,445,229,416,307
Lmod2,6,3,2,2,3,0,0,0
Ndufa5,7307,4287,4289,2335,5233,2694,5102,3726
Wasl,1284,654,687,394,772,429,798,562
Gpr37,5,6,4,4,4,3,9,13
Pot1,464,286,335,153,367,224,394,264
Hyal6,0,0,1,0,0,0,0,0
Hyal4,0,0,0,0,0,0,0,0
Spam1,0,0,0,0,0,0,0,0
Hyal5,0,0,0,0,0,0,0,0
Tmem229a,0,0,1,0,1,1,0,5
Grm8,0,1,0,0,0,0,1,0
Mir592,0,0,0,0,0,0,0,0
Zfp800,421,234,193,136,280,144,297,199
Arf5,712,303,361,223,510,192,359,314
Fscn3,8,2,0,0,2,1,2,4
Pax4,0,0,0,0,0,0,1,0
Snd1,1229,754,605,352,760,299,531,498
Lipogenin,35,23,17,6,21,15,28,16
Lrrc4,8,1,7,1,6,3,8,5
Mir129-1,0,0,0,0,0,0,0,0
Lep,76,41,13,6,14,14,17,31
Rbm28,522,271,240,148,304,133,200,201
Prrt4,2,2,1,1,0,0,0,0
Impdh1,262,114,80,53,122,58,54,69
Fam71f2,0,0,0,0,0,0,0,1
Fam71f1,1,0,0,1,2,0,0,0
Calu,9724,6209,5102,3108,5877,3328,5180,4191
Opn1sw,2,0,0,0,0,0,0,0
Flnc,12171,10941,4988,3475,8043,3216,4532,5365
Atp6v1f,1309,820,784,432,926,457,934,669
Irf5,103,42,10,21,31,23,25,39
Tnpo3,2152,1565,1326,709,1399,813,1536,1060
Tspan33,30,6,13,4,19,7,5,12
Smo,27,27,24,10,23,12,12,17
Ahcyl2,446,189,204,107,210,160,226,183
Nrf1,303,190,155,114,213,91,176,155
Mir182,0,0,0,0,0,0,0,0
Mir96,0,0,0,0,0,0,0,0
Mir183,0,0,0,0,0,0,0,0
Mir3553,0,0,0,0,0,0,0,0
Ube2h,2707,1800,1687,795,1768,1049,1659,1277
N5,84,43,42,16,29,20,46,40
